item_id,base_item_index,template_id,verb_pair,subject_singular,subject_plural,distractor_singular,distractor_plural,condition,subject_number,distractor_number,prompt,singular_verb,plural_verb,correct_verb,wrong_verb,full_sentence_example,subject_token_start,subject_token_end,distractor_token_start,distractor_token_end,final_token_position,prompt_token_length
agr_0000,0,of_in_question,be_present,reporter,reporters,authority,authorities,SS,singular,singular,The reporter of the authority in question,is,are,is,are,The reporter of the authority in question is responsible for the decision.,1,1,4,4,6,7
agr_0000,0,of_in_question,be_present,reporter,reporters,authority,authorities,SP,singular,plural,The reporter of the authorities in question,is,are,is,are,The reporter of the authorities in question is responsible for the decision.,1,1,4,4,6,7
agr_0000,0,of_in_question,be_present,reporter,reporters,authority,authorities,PS,plural,singular,The reporters of the authority in question,is,are,are,is,The reporters of the authority in question are responsible for the decision.,1,1,4,4,6,7
agr_0000,0,of_in_question,be_present,reporter,reporters,authority,authorities,PP,plural,plural,The reporters of the authorities in question,is,are,are,is,The reporters of the authorities in question are responsible for the decision.,1,1,4,4,6,7
agr_0001,1,of_in_question,be_present,auditor,auditors,branch,branches,SS,singular,singular,The auditor of the branch in question,is,are,is,are,The auditor of the branch in question is responsible for the decision.,1,1,4,4,6,7
agr_0001,1,of_in_question,be_present,auditor,auditors,branch,branches,SP,singular,plural,The auditor of the branches in question,is,are,is,are,The auditor of the branches in question is responsible for the decision.,1,1,4,4,6,7
agr_0001,1,of_in_question,be_present,auditor,auditors,branch,branches,PS,plural,singular,The auditors of the branch in question,is,are,are,is,The auditors of the branch in question are responsible for the decision.,1,2,5,5,7,8
agr_0001,1,of_in_question,be_present,auditor,auditors,branch,branches,PP,plural,plural,The auditors of the branches in question,is,are,are,is,The auditors of the branches in question are responsible for the decision.,1,2,5,5,7,8
agr_0002,2,of_in_question,be_present,auditor,auditors,firm,firms,SS,singular,singular,The auditor of the firm in question,is,are,is,are,The auditor of the firm in question is responsible for the decision.,1,1,4,4,6,7
agr_0002,2,of_in_question,be_present,auditor,auditors,firm,firms,SP,singular,plural,The auditor of the firms in question,is,are,is,are,The auditor of the firms in question is responsible for the decision.,1,1,4,4,6,7
agr_0002,2,of_in_question,be_present,auditor,auditors,firm,firms,PS,plural,singular,The auditors of the firm in question,is,are,are,is,The auditors of the firm in question are responsible for the decision.,1,2,5,5,7,8
agr_0002,2,of_in_question,be_present,auditor,auditors,firm,firms,PP,plural,plural,The auditors of the firms in question,is,are,are,is,The auditors of the firms in question are responsible for the decision.,1,2,5,5,7,8
agr_0003,3,of_in_question,be_present,programmer,programmers,platform,platforms,SS,singular,singular,The programmer of the platform in question,is,are,is,are,The programmer of the platform in question is responsible for the decision.,1,1,4,4,6,7
agr_0003,3,of_in_question,be_present,programmer,programmers,platform,platforms,SP,singular,plural,The programmer of the platforms in question,is,are,is,are,The programmer of the platforms in question is responsible for the decision.,1,1,4,4,6,7
agr_0003,3,of_in_question,be_present,programmer,programmers,platform,platforms,PS,plural,singular,The programmers of the platform in question,is,are,are,is,The programmers of the platform in question are responsible for the decision.,1,1,4,4,6,7
agr_0003,3,of_in_question,be_present,programmer,programmers,platform,platforms,PP,plural,plural,The programmers of the platforms in question,is,are,are,is,The programmers of the platforms in question are responsible for the decision.,1,1,4,4,6,7
agr_0004,4,of_in_question,be_present,lecturer,lecturers,university,universities,SS,singular,singular,The lecturer of the university in question,is,are,is,are,The lecturer of the university in question is responsible for the decision.,1,1,4,4,6,7
agr_0004,4,of_in_question,be_present,lecturer,lecturers,university,universities,SP,singular,plural,The lecturer of the universities in question,is,are,is,are,The lecturer of the universities in question is responsible for the decision.,1,1,4,4,6,7
agr_0004,4,of_in_question,be_present,lecturer,lecturers,university,universities,PS,plural,singular,The lecturers of the university in question,is,are,are,is,The lecturers of the university in question are responsible for the decision.,1,2,5,5,7,8
agr_0004,4,of_in_question,be_present,lecturer,lecturers,university,universities,PP,plural,plural,The lecturers of the universities in question,is,are,are,is,The lecturers of the universities in question are responsible for the decision.,1,2,5,5,7,8
agr_0005,5,of_in_question,be_present,owner,owners,panel,panels,SS,singular,singular,The owner of the panel in question,is,are,is,are,The owner of the panel in question is responsible for the decision.,1,1,4,4,6,7
agr_0005,5,of_in_question,be_present,owner,owners,panel,panels,SP,singular,plural,The owner of the panels in question,is,are,is,are,The owner of the panels in question is responsible for the decision.,1,1,4,4,6,7
agr_0005,5,of_in_question,be_present,owner,owners,panel,panels,PS,plural,singular,The owners of the panel in question,is,are,are,is,The owners of the panel in question are responsible for the decision.,1,1,4,4,6,7
agr_0005,5,of_in_question,be_present,owner,owners,panel,panels,PP,plural,plural,The owners of the panels in question,is,are,are,is,The owners of the panels in question are responsible for the decision.,1,1,4,4,6,7
agr_0006,6,of_in_question,be_present,officer,officers,board,boards,SS,singular,singular,The officer of the board in question,is,are,is,are,The officer of the board in question is responsible for the decision.,1,1,4,4,6,7
agr_0006,6,of_in_question,be_present,officer,officers,board,boards,SP,singular,plural,The officer of the boards in question,is,are,is,are,The officer of the boards in question is responsible for the decision.,1,1,4,4,6,7
agr_0006,6,of_in_question,be_present,officer,officers,board,boards,PS,plural,singular,The officers of the board in question,is,are,are,is,The officers of the board in question are responsible for the decision.,1,1,4,4,6,7
agr_0006,6,of_in_question,be_present,officer,officers,board,boards,PP,plural,plural,The officers of the boards in question,is,are,are,is,The officers of the boards in question are responsible for the decision.,1,1,4,4,6,7
agr_0008,8,of_in_question,be_present,planner,planners,ministry,ministries,SS,singular,singular,The planner of the ministry in question,is,are,is,are,The planner of the ministry in question is responsible for the decision.,1,1,4,4,6,7
agr_0008,8,of_in_question,be_present,planner,planners,ministry,ministries,SP,singular,plural,The planner of the ministries in question,is,are,is,are,The planner of the ministries in question is responsible for the decision.,1,1,4,4,6,7
agr_0008,8,of_in_question,be_present,planner,planners,ministry,ministries,PS,plural,singular,The planners of the ministry in question,is,are,are,is,The planners of the ministry in question are responsible for the decision.,1,1,4,4,6,7
agr_0008,8,of_in_question,be_present,planner,planners,ministry,ministries,PP,plural,plural,The planners of the ministries in question,is,are,are,is,The planners of the ministries in question are responsible for the decision.,1,1,4,4,6,7
agr_0009,9,of_in_question,be_present,representative,representatives,club,clubs,SS,singular,singular,The representative of the club in question,is,are,is,are,The representative of the club in question is responsible for the decision.,1,1,4,4,6,7
agr_0009,9,of_in_question,be_present,representative,representatives,club,clubs,SP,singular,plural,The representative of the clubs in question,is,are,is,are,The representative of the clubs in question is responsible for the decision.,1,1,4,4,6,7
agr_0009,9,of_in_question,be_present,representative,representatives,club,clubs,PS,plural,singular,The representatives of the club in question,is,are,are,is,The representatives of the club in question are responsible for the decision.,1,1,4,4,6,7
agr_0009,9,of_in_question,be_present,representative,representatives,club,clubs,PP,plural,plural,The representatives of the clubs in question,is,are,are,is,The representatives of the clubs in question are responsible for the decision.,1,1,4,4,6,7
agr_0010,10,of_in_question,be_present,author,authors,facility,facilities,SS,singular,singular,The author of the facility in question,is,are,is,are,The author of the facility in question is responsible for the decision.,1,1,4,4,6,7
agr_0010,10,of_in_question,be_present,author,authors,facility,facilities,SP,singular,plural,The author of the facilities in question,is,are,is,are,The author of the facilities in question is responsible for the decision.,1,1,4,4,6,7
agr_0010,10,of_in_question,be_present,author,authors,facility,facilities,PS,plural,singular,The authors of the facility in question,is,are,are,is,The authors of the facility in question are responsible for the decision.,1,1,4,4,6,7
agr_0010,10,of_in_question,be_present,author,authors,facility,facilities,PP,plural,plural,The authors of the facilities in question,is,are,are,is,The authors of the facilities in question are responsible for the decision.,1,1,4,4,6,7
agr_0011,11,of_in_question,be_present,representative,representatives,project,projects,SS,singular,singular,The representative of the project in question,is,are,is,are,The representative of the project in question is responsible for the decision.,1,1,4,4,6,7
agr_0011,11,of_in_question,be_present,representative,representatives,project,projects,SP,singular,plural,The representative of the projects in question,is,are,is,are,The representative of the projects in question is responsible for the decision.,1,1,4,4,6,7
agr_0011,11,of_in_question,be_present,representative,representatives,project,projects,PS,plural,singular,The representatives of the project in question,is,are,are,is,The representatives of the project in question are responsible for the decision.,1,1,4,4,6,7
agr_0011,11,of_in_question,be_present,representative,representatives,project,projects,PP,plural,plural,The representatives of the projects in question,is,are,are,is,The representatives of the projects in question are responsible for the decision.,1,1,4,4,6,7
agr_0012,12,of_in_question,be_present,member,members,bureau,bureaus,SS,singular,singular,The member of the bureau in question,is,are,is,are,The member of the bureau in question is responsible for the decision.,1,1,4,4,6,7
agr_0012,12,of_in_question,be_present,member,members,bureau,bureaus,SP,singular,plural,The member of the bureaus in question,is,are,is,are,The member of the bureaus in question is responsible for the decision.,1,1,4,6,8,9
agr_0012,12,of_in_question,be_present,member,members,bureau,bureaus,PS,plural,singular,The members of the bureau in question,is,are,are,is,The members of the bureau in question are responsible for the decision.,1,1,4,4,6,7
agr_0012,12,of_in_question,be_present,member,members,bureau,bureaus,PP,plural,plural,The members of the bureaus in question,is,are,are,is,The members of the bureaus in question are responsible for the decision.,1,1,4,6,8,9
agr_0013,13,of_in_question,be_present,advisor,advisors,council,councils,SS,singular,singular,The advisor of the council in question,is,are,is,are,The advisor of the council in question is responsible for the decision.,1,1,4,4,6,7
agr_0013,13,of_in_question,be_present,advisor,advisors,council,councils,SP,singular,plural,The advisor of the councils in question,is,are,is,are,The advisor of the councils in question is responsible for the decision.,1,1,4,4,6,7
agr_0013,13,of_in_question,be_present,advisor,advisors,council,councils,PS,plural,singular,The advisors of the council in question,is,are,are,is,The advisors of the council in question are responsible for the decision.,1,1,4,4,6,7
agr_0013,13,of_in_question,be_present,advisor,advisors,council,councils,PP,plural,plural,The advisors of the councils in question,is,are,are,is,The advisors of the councils in question are responsible for the decision.,1,1,4,4,6,7
agr_0014,14,of_in_question,be_present,student,students,organization,organizations,SS,singular,singular,The student of the organization in question,is,are,is,are,The student of the organization in question is responsible for the decision.,1,1,4,4,6,7
agr_0014,14,of_in_question,be_present,student,students,organization,organizations,SP,singular,plural,The student of the organizations in question,is,are,is,are,The student of the organizations in question is responsible for the decision.,1,1,4,4,6,7
agr_0014,14,of_in_question,be_present,student,students,organization,organizations,PS,plural,singular,The students of the organization in question,is,are,are,is,The students of the organization in question are responsible for the decision.,1,1,4,4,6,7
agr_0014,14,of_in_question,be_present,student,students,organization,organizations,PP,plural,plural,The students of the organizations in question,is,are,are,is,The students of the organizations in question are responsible for the decision.,1,1,4,4,6,7
agr_0015,15,of_in_question,be_present,advisor,advisors,service,services,SS,singular,singular,The advisor of the service in question,is,are,is,are,The advisor of the service in question is responsible for the decision.,1,1,4,4,6,7
agr_0015,15,of_in_question,be_present,advisor,advisors,service,services,SP,singular,plural,The advisor of the services in question,is,are,is,are,The advisor of the services in question is responsible for the decision.,1,1,4,4,6,7
agr_0015,15,of_in_question,be_present,advisor,advisors,service,services,PS,plural,singular,The advisors of the service in question,is,are,are,is,The advisors of the service in question are responsible for the decision.,1,1,4,4,6,7
agr_0015,15,of_in_question,be_present,advisor,advisors,service,services,PP,plural,plural,The advisors of the services in question,is,are,are,is,The advisors of the services in question are responsible for the decision.,1,1,4,4,6,7
agr_0016,16,of_in_question,be_present,student,students,department,departments,SS,singular,singular,The student of the department in question,is,are,is,are,The student of the department in question is responsible for the decision.,1,1,4,4,6,7
agr_0016,16,of_in_question,be_present,student,students,department,departments,SP,singular,plural,The student of the departments in question,is,are,is,are,The student of the departments in question is responsible for the decision.,1,1,4,4,6,7
agr_0016,16,of_in_question,be_present,student,students,department,departments,PS,plural,singular,The students of the department in question,is,are,are,is,The students of the department in question are responsible for the decision.,1,1,4,4,6,7
agr_0016,16,of_in_question,be_present,student,students,department,departments,PP,plural,plural,The students of the departments in question,is,are,are,is,The students of the departments in question are responsible for the decision.,1,1,4,4,6,7
agr_0017,17,of_in_question,be_present,journalist,journalists,program,programs,SS,singular,singular,The journalist of the program in question,is,are,is,are,The journalist of the program in question is responsible for the decision.,1,1,4,4,6,7
agr_0017,17,of_in_question,be_present,journalist,journalists,program,programs,SP,singular,plural,The journalist of the programs in question,is,are,is,are,The journalist of the programs in question is responsible for the decision.,1,1,4,4,6,7
agr_0017,17,of_in_question,be_present,journalist,journalists,program,programs,PS,plural,singular,The journalists of the program in question,is,are,are,is,The journalists of the program in question are responsible for the decision.,1,1,4,4,6,7
agr_0017,17,of_in_question,be_present,journalist,journalists,program,programs,PP,plural,plural,The journalists of the programs in question,is,are,are,is,The journalists of the programs in question are responsible for the decision.,1,1,4,4,6,7
agr_0018,18,of_in_question,be_present,director,directors,unit,units,SS,singular,singular,The director of the unit in question,is,are,is,are,The director of the unit in question is responsible for the decision.,1,1,4,4,6,7
agr_0018,18,of_in_question,be_present,director,directors,unit,units,SP,singular,plural,The director of the units in question,is,are,is,are,The director of the units in question is responsible for the decision.,1,1,4,4,6,7
agr_0018,18,of_in_question,be_present,director,directors,unit,units,PS,plural,singular,The directors of the unit in question,is,are,are,is,The directors of the unit in question are responsible for the decision.,1,1,4,4,6,7
agr_0018,18,of_in_question,be_present,director,directors,unit,units,PP,plural,plural,The directors of the units in question,is,are,are,is,The directors of the units in question are responsible for the decision.,1,1,4,4,6,7
agr_0019,19,of_in_question,be_present,candidate,candidates,council,councils,SS,singular,singular,The candidate of the council in question,is,are,is,are,The candidate of the council in question is responsible for the decision.,1,1,4,4,6,7
agr_0019,19,of_in_question,be_present,candidate,candidates,council,councils,SP,singular,plural,The candidate of the councils in question,is,are,is,are,The candidate of the councils in question is responsible for the decision.,1,1,4,4,6,7
agr_0019,19,of_in_question,be_present,candidate,candidates,council,councils,PS,plural,singular,The candidates of the council in question,is,are,are,is,The candidates of the council in question are responsible for the decision.,1,1,4,4,6,7
agr_0019,19,of_in_question,be_present,candidate,candidates,council,councils,PP,plural,plural,The candidates of the councils in question,is,are,are,is,The candidates of the councils in question are responsible for the decision.,1,1,4,4,6,7
agr_0020,20,of_in_question,be_present,scientist,scientists,school,schools,SS,singular,singular,The scientist of the school in question,is,are,is,are,The scientist of the school in question is responsible for the decision.,1,1,4,4,6,7
agr_0020,20,of_in_question,be_present,scientist,scientists,school,schools,SP,singular,plural,The scientist of the schools in question,is,are,is,are,The scientist of the schools in question is responsible for the decision.,1,1,4,4,6,7
agr_0020,20,of_in_question,be_present,scientist,scientists,school,schools,PS,plural,singular,The scientists of the school in question,is,are,are,is,The scientists of the school in question are responsible for the decision.,1,1,4,4,6,7
agr_0020,20,of_in_question,be_present,scientist,scientists,school,schools,PP,plural,plural,The scientists of the schools in question,is,are,are,is,The scientists of the schools in question are responsible for the decision.,1,1,4,4,6,7
agr_0021,21,of_in_question,be_present,painter,painters,alliance,alliances,SS,singular,singular,The painter of the alliance in question,is,are,is,are,The painter of the alliance in question is responsible for the decision.,1,1,4,4,6,7
agr_0021,21,of_in_question,be_present,painter,painters,alliance,alliances,SP,singular,plural,The painter of the alliances in question,is,are,is,are,The painter of the alliances in question is responsible for the decision.,1,1,4,4,6,7
agr_0021,21,of_in_question,be_present,painter,painters,alliance,alliances,PS,plural,singular,The painters of the alliance in question,is,are,are,is,The painters of the alliance in question are responsible for the decision.,1,2,5,5,7,8
agr_0021,21,of_in_question,be_present,painter,painters,alliance,alliances,PP,plural,plural,The painters of the alliances in question,is,are,are,is,The painters of the alliances in question are responsible for the decision.,1,2,5,5,7,8
agr_0022,22,of_in_question,be_present,director,directors,consortium,consortiums,SS,singular,singular,The director of the consortium in question,is,are,is,are,The director of the consortium in question is responsible for the decision.,1,1,4,4,6,7
agr_0022,22,of_in_question,be_present,director,directors,consortium,consortiums,SP,singular,plural,The director of the consortiums in question,is,are,is,are,The director of the consortiums in question is responsible for the decision.,1,1,4,5,7,8
agr_0022,22,of_in_question,be_present,director,directors,consortium,consortiums,PS,plural,singular,The directors of the consortium in question,is,are,are,is,The directors of the consortium in question are responsible for the decision.,1,1,4,4,6,7
agr_0022,22,of_in_question,be_present,director,directors,consortium,consortiums,PP,plural,plural,The directors of the consortiums in question,is,are,are,is,The directors of the consortiums in question are responsible for the decision.,1,1,4,5,7,8
