item_id,base_item_index,template_id,verb_pair,subject_singular,subject_plural,distractor_singular,distractor_plural,condition,subject_number,distractor_number,prompt,singular_verb,plural_verb,correct_verb,wrong_verb,full_sentence_example,logit_correct,logit_wrong,margin,prob_correct,prob_wrong,rank_correct,model_tag,pass_margin_gt_0,pass_margin_gt_1,subject_token_start,subject_token_end,distractor_token_start,distractor_token_end,final_token_position,prompt_token_length
agr_0000,0,of_in_question,be_present,reporter,reporters,authority,authorities,SS,singular,singular,The reporter of the authority in question,is,are,is,are,The reporter of the authority in question is responsible for the decision.,16.0,12.234375,3.765625,0.07761389017105103,0.0017970050685107708,2,llama32_3b,True,True,2,2,5,5,7,8
agr_0000,0,of_in_question,be_present,reporter,reporters,authority,authorities,SP,singular,plural,The reporter of the authorities in question,is,are,is,are,The reporter of the authorities in question is responsible for the decision.,15.7421875,13.8359375,1.90625,0.06890147179365158,0.010241289623081684,2,llama32_3b,True,True,2,2,5,5,7,8
agr_0000,0,of_in_question,be_present,reporter,reporters,authority,authorities,PS,plural,singular,The reporters of the authority in question,is,are,are,is,The reporters of the authority in question are responsible for the decision.,17.015625,14.5703125,2.4453125,0.12430313229560852,0.010776962153613567,1,llama32_3b,True,True,2,2,5,5,7,8
agr_0000,0,of_in_question,be_present,reporter,reporters,authority,authorities,PP,plural,plural,The reporters of the authorities in question,is,are,are,is,The reporters of the authorities in question are responsible for the decision.,17.359375,13.421875,3.9375,0.14385166764259338,0.0028046611696481705,1,llama32_3b,True,True,2,2,5,5,7,8
agr_0000,0,of_in_question,be_past,reporter,reporters,authority,authorities,SS,singular,singular,The reporter of the authority in question,was,were,was,were,The reporter of the authority in question was responsible for the decision.,15.453125,11.8359375,3.6171875,0.04491947963833809,0.0012064522597938776,5,llama32_3b,True,True,2,2,5,5,7,8
agr_0000,0,of_in_question,be_past,reporter,reporters,authority,authorities,SP,singular,plural,The reporter of the authorities in question,was,were,was,were,The reporter of the authorities in question was responsible for the decision.,15.09375,13.3125,1.78125,0.03602597117424011,0.006067763548344374,5,llama32_3b,True,True,2,2,5,5,7,8
agr_0000,0,of_in_question,be_past,reporter,reporters,authority,authorities,PS,plural,singular,The reporters of the authority in question,was,were,were,was,The reporters of the authority in question were responsible for the decision.,16.09375,13.4921875,2.6015625,0.04944436997175217,0.003666676813736558,4,llama32_3b,True,True,2,2,5,5,7,8
agr_0000,0,of_in_question,be_past,reporter,reporters,authority,authorities,PP,plural,plural,The reporters of the authorities in question,was,were,were,was,The reporters of the authorities in question were responsible for the decision.,16.421875,12.3515625,4.0703125,0.05633312091231346,0.0009617219911888242,4,llama32_3b,True,True,2,2,5,5,7,8
agr_0000,0,of_in_question,have_present,reporter,reporters,authority,authorities,SS,singular,singular,The reporter of the authority in question,has,have,has,have,The reporter of the authority in question has received the report.,15.765625,12.328125,3.4375,0.06139764189720154,0.0019736241083592176,3,llama32_3b,True,True,2,2,5,5,7,8
agr_0000,0,of_in_question,have_present,reporter,reporters,authority,authorities,SP,singular,plural,The reporter of the authorities in question,has,have,has,have,The reporter of the authorities in question has received the report.,15.390625,13.8125,1.578125,0.04847824200987816,0.010004050098359585,4,llama32_3b,True,True,2,2,5,5,7,8
