item_id,pair_id,subject_lemma_sg,subject_lemma_pl,distractor_lemma_sg,distractor_lemma_pl,aux_pair,singular_verb,plural_verb,distance_bucket,distance_level,filler_id,filler,condition,subject,subject_num,distractor,distractor_num,prompt,correct_verb,wrong_verb,correct_token_text,wrong_token_text,n_words_prompt,approx_subject_to_pred_words,approx_distractor_to_pred_words,template,target_depends_on,dataset_name,model_tag,tokenization_ok,correct_token_id,wrong_token_id,correct_logit,wrong_logit,margin,correct_prob,wrong_prob,rank_correct,greedy_token_id,greedy_token,greedy_is_correct,greedy_is_aux,margin_gt_0,margin_gt_1
be_past_short_1639_PP,1639,contractor,contractors,volunteer,volunteers,be_past,was,were,short,0,none,,PP,contractors,pl,volunteers,pl,The contractors of the volunteers,were,was, were, was,5,4,1,The {subject} of the {distractor}{adverbial_filler},subject_number,agreement_distance_adverbial,qwen25_3b,True,1033,572,17.4375,13.875,3.5625,0.03906325250864029,0.0011081390548497438,3,6,',False,False,True,True
be_present_long_355_SS,355,lawyer,lawyers,technician,technicians,be_present,is,are,long,2,clearly_obviously_expected,", quite clearly, rather obviously, as expected,",SS,lawyer,sg,technician,sg,"The lawyer of the technician, quite clearly, rather obviously, as expected,",is,are, is, are,15,14,11,The {subject} of the {distractor}{adverbial_filler},subject_number,agreement_distance_adverbial,qwen25_3b,True,374,525,17.265625,11.015625,6.25,0.051019325852394104,9.84904618235305e-05,4,572, was,False,True,True,True
be_past_extra_long_332_SS,332,lawyer,lawyers,chef,chefs,be_past,was,were,extra_long,3,clearly_obviously_expected_now_cases,", quite clearly, rather obviously, as expected, at least for now, in most cases,",SS,lawyer,sg,chef,sg,"The lawyer of the chef, quite clearly, rather obviously, as expected, at least for now, in most cases,",was,were, was, were,24,23,20,The {subject} of the {distractor}{adverbial_filler},subject_number,agreement_distance_adverbial,qwen25_3b,True,572,1033,18.328125,13.0546875,5.2734375,0.04966839775443077,0.00025459821335971355,3,374, is,False,True,True,True
be_past_short_1583_SS,1583,representative,representatives,director,directors,be_past,was,were,short,0,none,,SS,representative,sg,director,sg,The representative of the director,was,were, was, were,5,4,1,The {subject} of the {distractor}{adverbial_filler},subject_number,agreement_distance_adverbial,qwen25_3b,True,572,1033,14.3046875,8.6484375,5.65625,0.0023166968021541834,8.09824723546626e-06,31,315, of,False,False,True,True
be_past_medium_149_PP,149,doctor,doctors,operator,operators,be_past,was,were,medium,1,quite_clearly,", quite clearly,",PP,doctors,pl,operators,pl,"The doctors of the operators, quite clearly,",were,was, were, was,9,8,5,The {subject} of the {distractor}{adverbial_filler},subject_number,agreement_distance_adverbial,qwen25_3b,True,1033,572,18.6875,15.1328125,3.5546875,0.11961989104747772,0.0034199696965515614,2,525, are,False,True,True,True
be_present_short_1423_SS,1423,technician,technicians,director,directors,be_present,is,are,short,0,none,,SS,technician,sg,director,sg,The technician of the director,is,are, is, are,5,4,1,The {subject} of the {distractor}{adverbial_filler},subject_number,agreement_distance_adverbial,qwen25_3b,True,374,525,16.015625,9.3671875,6.6484375,0.010223740711808205,1.3250434676592704e-05,7,349,ate,False,False,True,True
be_past_medium_917_PP,917,director,directors,administrator,administrators,be_past,was,were,medium,1,quite_clearly,", quite clearly,",PP,directors,pl,administrators,pl,"The directors of the administrators, quite clearly,",were,was, were, was,9,8,5,The {subject} of the {distractor}{adverbial_filler},subject_number,agreement_distance_adverbial,qwen25_3b,True,1033,572,18.96875,14.0546875,4.9140625,0.0860193744301796,0.0006316056824289262,3,614, have,False,False,True,True
be_past_extra_long_1240_PP,1240,inspector,inspectors,contractor,contractors,be_past,was,were,extra_long,3,clearly_obviously_expected_now_cases,", quite clearly, rather obviously, as expected, at least for now, in most cases,",PP,inspectors,pl,contractors,pl,"The inspectors of the contractors, quite clearly, rather obviously, as expected, at least for now, in most cases,",were,was, were, was,24,23,20,The {subject} of the {distractor}{adverbial_filler},subject_number,agreement_distance_adverbial,qwen25_3b,True,1033,572,18.6875,15.65625,3.03125,0.04190340265631676,0.0020220603328198195,4,525, are,False,True,True,True
be_present_medium_353_SP,353,lawyer,lawyers,employee,employees,be_present,is,are,medium,1,quite_clearly,", quite clearly,",SP,lawyer,sg,employees,pl,"The lawyer of the employees, quite clearly,",is,are, is, are,9,8,5,The {subject} of the {distractor}{adverbial_filler},subject_number,agreement_distance_adverbial,qwen25_3b,True,374,525,18.515625,15.6015625,2.9140625,0.11760338395833969,0.006380556616932154,1,374, is,True,True,True,True
be_past_extra_long_1211_PP,1211,inspector,inspectors,engineer,engineers,be_past,was,were,extra_long,3,clearly_obviously_expected_now_cases,", quite clearly, rather obviously, as expected, at least for now, in most cases,",PP,inspectors,pl,engineers,pl,"The inspectors of the engineers, quite clearly, rather obviously, as expected, at least for now, in most cases,",were,was, were, was,24,23,20,The {subject} of the {distractor}{adverbial_filler},subject_number,agreement_distance_adverbial,qwen25_3b,True,1033,572,18.546875,15.8046875,2.7421875,0.042469412088394165,0.002736272756010294,3,525, are,False,True,True,True
