item_id,pair_id,subject_lemma_sg,subject_lemma_pl,distractor_lemma_sg,distractor_lemma_pl,aux_pair,singular_verb,plural_verb,distance_bucket,distance_level,filler_id,filler,condition,subject,subject_num,distractor,distractor_num,prompt,correct_verb,wrong_verb,correct_token_text,wrong_token_text,n_words_prompt,approx_subject_to_pred_words,approx_distractor_to_pred_words,template,target_depends_on,dataset_name,model_tag,tokenization_ok,correct_token_id,wrong_token_id,correct_logit,wrong_logit,margin,correct_prob,wrong_prob,rank_correct,greedy_token_id,greedy_token,greedy_is_correct,greedy_is_aux,margin_gt_0,margin_gt_1
be_past_short_1639_PP,1639,contractor,contractors,volunteer,volunteers,be_past,was,were,short,0,none,,PP,contractors,pl,volunteers,pl,The contractors of the volunteers,were,was, were, was,5,4,1,The {subject} of the {distractor}{adverbial_filler},subject_number,agreement_distance_adverbial,llama32_3b,True,1051,574,14.5078125,11.0390625,3.46875,0.026392541825771332,0.000822284840978682,10,315, of,False,False,True,True
be_present_long_355_SS,355,lawyer,lawyers,technician,technicians,be_present,is,are,long,2,clearly_obviously_expected,", quite clearly, rather obviously, as expected,",SS,lawyer,sg,technician,sg,"The lawyer of the technician, quite clearly, rather obviously, as expected,",is,are, is, are,15,14,11,The {subject} of the {distractor}{adverbial_filler},subject_number,agreement_distance_adverbial,llama32_3b,True,374,527,16.390625,11.265625,5.125,0.06906483322381973,0.00041067448910325766,2,706, has,False,False,True,True
be_past_extra_long_332_SS,332,lawyer,lawyers,chef,chefs,be_past,was,were,extra_long,3,clearly_obviously_expected_now_cases,", quite clearly, rather obviously, as expected, at least for now, in most cases,",SS,lawyer,sg,chef,sg,"The lawyer of the chef, quite clearly, rather obviously, as expected, at least for now, in most cases,",was,were, was, were,24,23,20,The {subject} of the {distractor}{adverbial_filler},subject_number,agreement_distance_adverbial,llama32_3b,True,574,1051,14.9375,11.1953125,3.7421875,0.010603155940771103,0.00025131809525191784,16,374, is,False,True,True,True
be_past_short_1583_SS,1583,representative,representatives,director,directors,be_past,was,were,short,0,none,,SS,representative,sg,director,sg,The representative of the director,was,were, was, were,5,4,1,The {subject} of the {distractor}{adverbial_filler},subject_number,agreement_distance_adverbial,llama32_3b,True,574,1051,13.1953125,8.3671875,4.828125,0.007501957472413778,6.0026985011063516e-05,13,315, of,False,False,True,True
be_past_medium_149_PP,149,doctor,doctors,operator,operators,be_past,was,were,medium,1,quite_clearly,", quite clearly,",PP,doctors,pl,operators,pl,"The doctors of the operators, quite clearly,",were,was, were, was,9,8,5,The {subject} of the {distractor}{adverbial_filler},subject_number,agreement_distance_adverbial,llama32_3b,True,1051,574,17.21875,14.0625,3.15625,0.0674230232834816,0.002871218603104353,3,527, are,False,True,True,True
be_present_short_1423_SS,1423,technician,technicians,director,directors,be_present,is,are,short,0,none,,SS,technician,sg,director,sg,The technician of the director,is,are, is, are,5,4,1,The {subject} of the {distractor}{adverbial_filler},subject_number,agreement_distance_adverbial,llama32_3b,True,374,527,13.71875,8.8046875,4.9140625,0.02153990976512432,0.00015815890219528228,8,315, of,False,False,True,True
be_past_medium_917_PP,917,director,directors,administrator,administrators,be_past,was,were,medium,1,quite_clearly,", quite clearly,",PP,directors,pl,administrators,pl,"The directors of the administrators, quite clearly,",were,was, were, was,9,8,5,The {subject} of the {distractor}{adverbial_filler},subject_number,agreement_distance_adverbial,llama32_3b,True,1051,574,18.125,13.125,5.0,0.07819952070713043,0.0005269042449072003,3,617, have,False,False,True,True
be_past_extra_long_1240_PP,1240,inspector,inspectors,contractor,contractors,be_past,was,were,extra_long,3,clearly_obviously_expected_now_cases,", quite clearly, rather obviously, as expected, at least for now, in most cases,",PP,inspectors,pl,contractors,pl,"The inspectors of the contractors, quite clearly, rather obviously, as expected, at least for now, in most cases,",were,was, were, was,24,23,20,The {subject} of the {distractor}{adverbial_filler},subject_number,agreement_distance_adverbial,llama32_3b,True,1051,574,15.6328125,12.515625,3.1171875,0.020463058724999428,0.0009061357122845948,9,617, have,False,False,True,True
be_present_medium_353_SP,353,lawyer,lawyers,employee,employees,be_present,is,are,medium,1,quite_clearly,", quite clearly,",SP,lawyer,sg,employees,pl,"The lawyer of the employees, quite clearly,",is,are, is, are,9,8,5,The {subject} of the {distractor}{adverbial_filler},subject_number,agreement_distance_adverbial,llama32_3b,True,374,527,17.265625,14.609375,2.65625,0.09382610768079758,0.006587626878172159,1,374, is,True,True,True,True
be_past_extra_long_1211_PP,1211,inspector,inspectors,engineer,engineers,be_past,was,were,extra_long,3,clearly_obviously_expected_now_cases,", quite clearly, rather obviously, as expected, at least for now, in most cases,",PP,inspectors,pl,engineers,pl,"The inspectors of the engineers, quite clearly, rather obviously, as expected, at least for now, in most cases,",were,was, were, was,24,23,20,The {subject} of the {distractor}{adverbial_filler},subject_number,agreement_distance_adverbial,llama32_3b,True,1051,574,15.046875,12.59375,2.453125,0.011306899599730968,0.0009726685821078718,15,617, have,False,False,True,True
