item_id,base_item_index,template_id,verb_pair,subject_singular,subject_plural,distractor_singular,distractor_plural,condition,subject_number,distractor_number,prompt,singular_verb,plural_verb,correct_verb,wrong_verb,full_sentence_example
agr_0000,0,of_in_question,be_present,reporter,reporters,authority,authorities,SS,singular,singular,The reporter of the authority in question,is,are,is,are,The reporter of the authority in question is responsible for the decision.
agr_0000,0,of_in_question,be_present,reporter,reporters,authority,authorities,SP,singular,plural,The reporter of the authorities in question,is,are,is,are,The reporter of the authorities in question is responsible for the decision.
agr_0000,0,of_in_question,be_present,reporter,reporters,authority,authorities,PS,plural,singular,The reporters of the authority in question,is,are,are,is,The reporters of the authority in question are responsible for the decision.
agr_0000,0,of_in_question,be_present,reporter,reporters,authority,authorities,PP,plural,plural,The reporters of the authorities in question,is,are,are,is,The reporters of the authorities in question are responsible for the decision.
agr_0000,0,of_in_question,be_past,reporter,reporters,authority,authorities,SS,singular,singular,The reporter of the authority in question,was,were,was,were,The reporter of the authority in question was responsible for the decision.
agr_0000,0,of_in_question,be_past,reporter,reporters,authority,authorities,SP,singular,plural,The reporter of the authorities in question,was,were,was,were,The reporter of the authorities in question was responsible for the decision.
agr_0000,0,of_in_question,be_past,reporter,reporters,authority,authorities,PS,plural,singular,The reporters of the authority in question,was,were,were,was,The reporters of the authority in question were responsible for the decision.
agr_0000,0,of_in_question,be_past,reporter,reporters,authority,authorities,PP,plural,plural,The reporters of the authorities in question,was,were,were,was,The reporters of the authorities in question were responsible for the decision.
agr_0000,0,of_in_question,have_present,reporter,reporters,authority,authorities,SS,singular,singular,The reporter of the authority in question,has,have,has,have,The reporter of the authority in question has received the report.
agr_0000,0,of_in_question,have_present,reporter,reporters,authority,authorities,SP,singular,plural,The reporter of the authorities in question,has,have,has,have,The reporter of the authorities in question has received the report.
agr_0000,0,of_in_question,have_present,reporter,reporters,authority,authorities,PS,plural,singular,The reporters of the authority in question,has,have,have,has,The reporters of the authority in question have received the report.
agr_0000,0,of_in_question,have_present,reporter,reporters,authority,authorities,PP,plural,plural,The reporters of the authorities in question,has,have,have,has,The reporters of the authorities in question have received the report.
agr_0000,0,of_in_question,do_present,reporter,reporters,authority,authorities,SS,singular,singular,The reporter of the authority in question,does,do,does,do,The reporter of the authority in question does not agree with the proposal.
agr_0000,0,of_in_question,do_present,reporter,reporters,authority,authorities,SP,singular,plural,The reporter of the authorities in question,does,do,does,do,The reporter of the authorities in question does not agree with the proposal.
agr_0000,0,of_in_question,do_present,reporter,reporters,authority,authorities,PS,plural,singular,The reporters of the authority in question,does,do,do,does,The reporters of the authority in question do not agree with the proposal.
agr_0000,0,of_in_question,do_present,reporter,reporters,authority,authorities,PP,plural,plural,The reporters of the authorities in question,does,do,do,does,The reporters of the authorities in question do not agree with the proposal.
agr_0001,1,of_in_question,be_present,auditor,auditors,branch,branches,SS,singular,singular,The auditor of the branch in question,is,are,is,are,The auditor of the branch in question is responsible for the decision.
agr_0001,1,of_in_question,be_present,auditor,auditors,branch,branches,SP,singular,plural,The auditor of the branches in question,is,are,is,are,The auditor of the branches in question is responsible for the decision.
agr_0001,1,of_in_question,be_present,auditor,auditors,branch,branches,PS,plural,singular,The auditors of the branch in question,is,are,are,is,The auditors of the branch in question are responsible for the decision.
