item_id,pair_id,subject_lemma_sg,subject_lemma_pl,distractor_lemma_sg,distractor_lemma_pl,aux_pair,singular_verb,plural_verb,distance_bucket,distance_level,filler_id,filler,condition,subject,subject_num,distractor,distractor_num,prompt,correct_verb,wrong_verb,correct_token_text,wrong_token_text,n_words_prompt,approx_subject_to_pred_words,approx_distractor_to_pred_words,template,target_depends_on,dataset_name,model_tag,tokenization_ok,correct_token_id,wrong_token_id,correct_logit,wrong_logit,margin,correct_prob,wrong_prob,rank_correct,greedy_token_id,greedy_token,greedy_is_correct,greedy_is_aux,margin_gt_0,margin_gt_1
be_past_short_1639_PP,1639,contractor,contractors,volunteer,volunteers,be_past,was,were,short,0,none,,PP,contractors,pl,volunteers,pl,The contractors of the volunteers,were,was, were, was,5,4,1,The {subject} of the {distractor}{adverbial_filler},subject_number,agreement_distance_adverbial,phi2,True,547,373,16.902379989624023,11.703643798828125,5.198736190795898,0.14186054468154907,0.0007835724973119795,1,547, were,True,True,True,True
be_present_long_355_SS,355,lawyer,lawyers,technician,technicians,be_present,is,are,long,2,clearly_obviously_expected,", quite clearly, rather obviously, as expected,",SS,lawyer,sg,technician,sg,"The lawyer of the technician, quite clearly, rather obviously, as expected,",is,are, is, are,15,14,11,The {subject} of the {distractor}{adverbial_filler},subject_number,agreement_distance_adverbial,phi2,True,318,389,15.698870658874512,10.39773178100586,5.301138877868652,0.050569552928209305,0.0002521353599149734,2,373, was,False,True,True,True
be_past_extra_long_332_SS,332,lawyer,lawyers,chef,chefs,be_past,was,were,extra_long,3,clearly_obviously_expected_now_cases,", quite clearly, rather obviously, as expected, at least for now, in most cases,",SS,lawyer,sg,chef,sg,"The lawyer of the chef, quite clearly, rather obviously, as expected, at least for now, in most cases,",was,were, was, were,24,23,20,The {subject} of the {distractor}{adverbial_filler},subject_number,agreement_distance_adverbial,phi2,True,373,547,15.226980209350586,11.96448040008545,3.2624998092651367,0.03949020057916641,0.00151218066457659,5,318, is,False,True,True,True
be_past_short_1583_SS,1583,representative,representatives,director,directors,be_past,was,were,short,0,none,,SS,representative,sg,director,sg,The representative of the director,was,were, was, were,5,4,1,The {subject} of the {distractor}{adverbial_filler},subject_number,agreement_distance_adverbial,phi2,True,373,547,13.383940696716309,7.54890251159668,5.835038185119629,0.009705670177936554,2.8372698579914868e-05,8,378,ate,False,False,True,True
be_past_medium_149_PP,149,doctor,doctors,operator,operators,be_past,was,were,medium,1,quite_clearly,", quite clearly,",PP,doctors,pl,operators,pl,"The doctors of the operators, quite clearly,",were,was, were, was,9,8,5,The {subject} of the {distractor}{adverbial_filler},subject_number,agreement_distance_adverbial,phi2,True,547,373,17.16136932373047,11.994830131530762,5.166539192199707,0.08242326229810715,0.0004701651050709188,3,389, are,False,True,True,True
be_present_short_1423_SS,1423,technician,technicians,director,directors,be_present,is,are,short,0,none,,SS,technician,sg,director,sg,The technician of the director,is,are, is, are,5,4,1,The {subject} of the {distractor}{adverbial_filler},subject_number,agreement_distance_adverbial,phi2,True,318,389,14.92599105834961,8.417362213134766,6.508628845214844,0.09295530617237091,0.00013855194265488535,3,286, of,False,False,True,True
be_past_medium_917_PP,917,director,directors,administrator,administrators,be_past,was,were,medium,1,quite_clearly,", quite clearly,",PP,directors,pl,administrators,pl,"The directors of the administrators, quite clearly,",were,was, were, was,9,8,5,The {subject} of the {distractor}{adverbial_filler},subject_number,agreement_distance_adverbial,phi2,True,547,373,17.37533187866211,12.289033889770508,5.086297988891602,0.11452965438365936,0.0007078916532918811,2,389, are,False,True,True,True
be_past_extra_long_1240_PP,1240,inspector,inspectors,contractor,contractors,be_past,was,were,extra_long,3,clearly_obviously_expected_now_cases,", quite clearly, rather obviously, as expected, at least for now, in most cases,",PP,inspectors,pl,contractors,pl,"The inspectors of the contractors, quite clearly, rather obviously, as expected, at least for now, in most cases,",were,was, were, was,24,23,20,The {subject} of the {distractor}{adverbial_filler},subject_number,agreement_distance_adverbial,phi2,True,547,373,15.888703346252441,12.005660057067871,3.8830432891845703,0.042791903018951416,0.0008810028666630387,5,389, are,False,True,True,True
be_present_medium_353_SP,353,lawyer,lawyers,employee,employees,be_present,is,are,medium,1,quite_clearly,", quite clearly,",SP,lawyer,sg,employees,pl,"The lawyer of the employees, quite clearly,",is,are, is, are,9,8,5,The {subject} of the {distractor}{adverbial_filler},subject_number,agreement_distance_adverbial,phi2,True,318,389,16.501197814941406,11.740789413452148,4.760408401489258,0.08387624472379684,0.0007181577384471893,2,373, was,False,True,True,True
be_past_extra_long_1211_PP,1211,inspector,inspectors,engineer,engineers,be_past,was,were,extra_long,3,clearly_obviously_expected_now_cases,", quite clearly, rather obviously, as expected, at least for now, in most cases,",PP,inspectors,pl,engineers,pl,"The inspectors of the engineers, quite clearly, rather obviously, as expected, at least for now, in most cases,",were,was, were, was,24,23,20,The {subject} of the {distractor}{adverbial_filler},subject_number,agreement_distance_adverbial,phi2,True,547,373,15.576224327087402,12.074694633483887,3.5015296936035156,0.039527527987957,0.0011918034870177507,4,389, are,False,True,True,True
