item_id,base_item_index,template_id,verb_pair,subject_singular,subject_plural,distractor_singular,distractor_plural,condition,subject_number,distractor_number,prompt,singular_verb,plural_verb,correct_verb,wrong_verb,full_sentence_example,logit_correct,logit_wrong,margin,prob_correct,prob_wrong,rank_correct,model_tag,pass_margin_gt_0,pass_margin_gt_1,subject_token_start,subject_token_end,distractor_token_start,distractor_token_end,final_token_position,prompt_token_length
agr_0000,0,of_in_question,be_present,reporter,reporters,authority,authorities,SS,singular,singular,The reporter of the authority in question,is,are,is,are,The reporter of the authority in question is responsible for the decision.,18.875,13.1796875,5.6953125,0.17700965702533722,0.0005950509803369641,1,qwen25_3b,True,True,1,1,4,4,6,7
agr_0000,0,of_in_question,be_present,reporter,reporters,authority,authorities,SP,singular,plural,The reporter of the authorities in question,is,are,is,are,The reporter of the authorities in question is responsible for the decision.,18.78125,15.9140625,2.8671875,0.19225731492042542,0.010931485332548618,1,qwen25_3b,True,True,1,1,4,4,6,7
agr_0000,0,of_in_question,be_present,reporter,reporters,authority,authorities,PS,plural,singular,The reporters of the authority in question,is,are,are,is,The reporters of the authority in question are responsible for the decision.,18.59375,14.765625,3.828125,0.1297297477722168,0.002821668516844511,1,qwen25_3b,True,True,1,1,4,4,6,7
agr_0000,0,of_in_question,be_present,reporter,reporters,authority,authorities,PP,plural,plural,The reporters of the authorities in question,is,are,are,is,The reporters of the authorities in question are responsible for the decision.,18.765625,13.9765625,4.7890625,0.17141538858413696,0.0014262195909395814,1,qwen25_3b,True,True,1,1,4,4,6,7
agr_0000,0,of_in_question,be_past,reporter,reporters,authority,authorities,SS,singular,singular,The reporter of the authority in question,was,were,was,were,The reporter of the authority in question was responsible for the decision.,16.921875,11.875,5.046875,0.0251053087413311,0.00016141191008500755,10,qwen25_3b,True,True,1,1,4,4,6,7
agr_0000,0,of_in_question,be_past,reporter,reporters,authority,authorities,SP,singular,plural,The reporter of the authorities in question,was,were,was,were,The reporter of the authorities in question was responsible for the decision.,17.71875,14.9765625,2.7421875,0.06644235551357269,0.004280831199139357,3,qwen25_3b,True,True,1,1,4,4,6,7
agr_0000,0,of_in_question,be_past,reporter,reporters,authority,authorities,PS,plural,singular,The reporters of the authority in question,was,were,were,was,The reporters of the authority in question were responsible for the decision.,17.6875,14.46875,3.21875,0.052415553480386734,0.002096886048093438,4,qwen25_3b,True,True,1,1,4,4,6,7
agr_0000,0,of_in_question,be_past,reporter,reporters,authority,authorities,PP,plural,plural,The reporters of the authorities in question,was,were,were,was,The reporters of the authorities in question were responsible for the decision.,17.8125,13.6953125,4.1171875,0.06608651578426361,0.0010765669867396355,3,qwen25_3b,True,True,1,1,4,4,6,7
agr_0000,0,of_in_question,have_present,reporter,reporters,authority,authorities,SS,singular,singular,The reporter of the authority in question,has,have,has,have,The reporter of the authority in question has received the report.,17.609375,12.2890625,5.3203125,0.04992786422371864,0.00024420840782113373,5,qwen25_3b,True,True,1,1,4,4,6,7
agr_0000,0,of_in_question,have_present,reporter,reporters,authority,authorities,SP,singular,plural,The reporter of the authorities in question,has,have,has,have,The reporter of the authorities in question has received the report.,17.3125,14.5546875,2.7578125,0.04426014795899391,0.002807437675073743,4,qwen25_3b,True,True,1,1,4,4,6,7
agr_0000,0,of_in_question,have_present,reporter,reporters,authority,authorities,PS,plural,singular,The reporters of the authority in question,has,have,have,has,The reporters of the authority in question have received the report.,18.3125,14.2734375,4.0390625,0.09792514890432358,0.001724851317703724,2,qwen25_3b,True,True,1,1,4,4,6,7
agr_0000,0,of_in_question,have_present,reporter,reporters,authority,authorities,PP,plural,plural,The reporters of the authorities in question,has,have,have,has,The reporters of the authorities in question have received the report.,18.15625,13.1875,4.96875,0.09319692850112915,0.0006478894501924515,2,qwen25_3b,True,True,1,1,4,4,6,7
agr_0000,0,of_in_question,do_present,reporter,reporters,authority,authorities,SS,singular,singular,The reporter of the authority in question,does,do,does,do,The reporter of the authority in question does not agree with the proposal.,15.5,10.7890625,4.7109375,0.006056937389075756,5.4490261391038075e-05,22,qwen25_3b,True,True,1,1,4,4,6,7
agr_0000,0,of_in_question,do_present,reporter,reporters,authority,authorities,SP,singular,plural,The reporter of the authorities in question,does,do,does,do,The reporter of the authorities in question does not agree with the proposal.,15.4609375,12.9453125,2.515625,0.006948474794626236,0.0005615227855741978,23,qwen25_3b,True,True,1,1,4,4,6,7
agr_0000,0,of_in_question,do_present,reporter,reporters,authority,authorities,PS,plural,singular,The reporters of the authority in question,does,do,do,does,The reporters of the authority in question do not agree with the proposal.,16.046875,12.15625,3.890625,0.010161219164729118,0.00020761984342243522,14,qwen25_3b,True,True,1,1,4,4,6,7
agr_0000,0,of_in_question,do_present,reporter,reporters,authority,authorities,PP,plural,plural,The reporters of the authorities in question,does,do,do,does,The reporters of the authorities in question do not agree with the proposal.,16.34375,11.5859375,4.7578125,0.01521397940814495,0.00013060239143669605,10,qwen25_3b,True,True,1,1,4,4,6,7
agr_0001,1,of_in_question,be_present,auditor,auditors,branch,branches,SS,singular,singular,The auditor of the branch in question,is,are,is,are,The auditor of the branch in question is responsible for the decision.,18.4375,11.078125,7.359375,0.10023637861013412,6.381009006872773e-05,2,qwen25_3b,True,True,1,1,4,4,6,7
agr_0001,1,of_in_question,be_present,auditor,auditors,branch,branches,SP,singular,plural,The auditor of the branches in question,is,are,is,are,The auditor of the branches in question is responsible for the decision.,18.609375,16.046875,2.5625,0.09718494862318039,0.007494098041206598,3,qwen25_3b,True,True,1,1,4,4,6,7
agr_0001,1,of_in_question,be_present,auditor,auditors,branch,branches,PS,plural,singular,The auditors of the branch in question,is,are,are,is,The auditors of the branch in question are responsible for the decision.,18.8125,13.375,5.4375,0.09401426464319229,0.0004089945578016341,2,qwen25_3b,True,True,1,2,5,5,7,8
agr_0001,1,of_in_question,be_present,auditor,auditors,branch,branches,PP,plural,plural,The auditors of the branches in question,is,are,are,is,The auditors of the branches in question are responsible for the decision.,19.25,12.7421875,6.5078125,0.12015023082494736,0.00017923282575793564,2,qwen25_3b,True,True,1,2,5,5,7,8
agr_0001,1,of_in_question,be_past,auditor,auditors,branch,branches,SS,singular,singular,The auditor of the branch in question,was,were,was,were,The auditor of the branch in question was responsible for the decision.,17.453125,10.7265625,6.7265625,0.037455592304468155,4.489600542001426e-05,6,qwen25_3b,True,True,1,1,4,4,6,7
agr_0001,1,of_in_question,be_past,auditor,auditors,branch,branches,SP,singular,plural,The auditor of the branches in question,was,were,was,were,The auditor of the branches in question was responsible for the decision.,17.890625,15.4453125,2.4453125,0.047364167869091034,0.004106427542865276,5,qwen25_3b,True,True,1,1,4,4,6,7
agr_0001,1,of_in_question,be_past,auditor,auditors,branch,branches,PS,plural,singular,The auditors of the branch in question,was,were,were,was,The auditors of the branch in question were responsible for the decision.,18.109375,13.109375,5.0,0.046540435403585434,0.00031358699197880924,4,qwen25_3b,True,True,1,2,5,5,7,8
agr_0001,1,of_in_question,be_past,auditor,auditors,branch,branches,PP,plural,plural,The auditors of the branches in question,was,were,were,was,The auditors of the branches in question were responsible for the decision.,18.625,12.671875,5.953125,0.06431178748607635,0.00016706336464267224,3,qwen25_3b,True,True,1,2,5,5,7,8
agr_0001,1,of_in_question,have_present,auditor,auditors,branch,branches,SS,singular,singular,The auditor of the branch in question,has,have,has,have,The auditor of the branch in question has received the report.,18.359375,11.2421875,7.1171875,0.09270348399877548,7.518666097894311e-05,3,qwen25_3b,True,True,1,1,4,4,6,7
agr_0001,1,of_in_question,have_present,auditor,auditors,branch,branches,SP,singular,plural,The auditor of the branches in question,has,have,has,have,The auditor of the branches in question has received the report.,18.890625,15.8828125,3.0078125,0.12874914705753326,0.006360159255564213,1,qwen25_3b,True,True,1,1,4,4,6,7
