model_tag,model,item_id,condition,prompt,margin,pass_margin_gt_0,pass_margin_gt_1
phi2,Phi-2,agr_0000,SS,The reporter of the authority in question,5.395254135131836,True,True
phi2,Phi-2,agr_0000,SP,The reporter of the authorities in question,2.6261348724365234,True,True
phi2,Phi-2,agr_0000,PS,The reporters of the authority in question,4.894191741943359,True,True
phi2,Phi-2,agr_0000,PP,The reporters of the authorities in question,5.742598533630371,True,True
phi2,Phi-2,agr_0001,SS,The auditor of the branch in question,6.155623435974121,True,True
phi2,Phi-2,agr_0001,SP,The auditor of the branches in question,1.6951799392700195,True,True
phi2,Phi-2,agr_0001,PS,The auditors of the branch in question,5.100175857543945,True,True
phi2,Phi-2,agr_0001,PP,The auditors of the branches in question,6.456007957458496,True,True
phi2,Phi-2,agr_0002,SS,The auditor of the firm in question,6.460192680358887,True,True
phi2,Phi-2,agr_0002,SP,The auditor of the firms in question,1.4064874649047852,True,True
phi2,Phi-2,agr_0002,PS,The auditors of the firm in question,4.893632888793945,True,True
phi2,Phi-2,agr_0002,PP,The auditors of the firms in question,6.607630729675293,True,True
phi2,Phi-2,agr_0003,SS,The programmer of the platform in question,6.569976806640625,True,True
phi2,Phi-2,agr_0003,SP,The programmer of the platforms in question,1.7638912200927734,True,True
phi2,Phi-2,agr_0003,PS,The programmers of the platform in question,5.641330718994141,True,True
phi2,Phi-2,agr_0003,PP,The programmers of the platforms in question,7.004304885864258,True,True
phi2,Phi-2,agr_0004,SS,The lecturer of the university in question,6.074123382568359,True,True
phi2,Phi-2,agr_0004,SP,The lecturer of the universities in question,0.4805908203125,True,False
phi2,Phi-2,agr_0004,PS,The lecturers of the university in question,4.934582710266113,True,True
phi2,Phi-2,agr_0004,PP,The lecturers of the universities in question,6.614532470703125,True,True
phi2,Phi-2,agr_0005,SS,The owner of the panel in question,7.082608222961426,True,True
phi2,Phi-2,agr_0005,SP,The owner of the panels in question,5.252225875854492,True,True
phi2,Phi-2,agr_0005,PS,The owners of the panel in question,5.313295364379883,True,True
phi2,Phi-2,agr_0005,PP,The owners of the panels in question,6.445853233337402,True,True
phi2,Phi-2,agr_0006,SS,The officer of the board in question,6.131587982177734,True,True
phi2,Phi-2,agr_0006,SP,The officer of the boards in question,1.2138147354125977,True,True
phi2,Phi-2,agr_0006,PS,The officers of the board in question,5.359930038452148,True,True
phi2,Phi-2,agr_0006,PP,The officers of the boards in question,7.3221330642700195,True,True
phi2,Phi-2,agr_0007,SS,The executive of the agency in question,5.399139404296875,True,True
phi2,Phi-2,agr_0007,SP,The executive of the agencies in question,0.7573280334472656,True,False
phi2,Phi-2,agr_0007,PS,The executives of the agency in question,5.4879302978515625,True,True
phi2,Phi-2,agr_0007,PP,The executives of the agencies in question,7.048001289367676,True,True
phi2,Phi-2,agr_0008,SS,The planner of the ministry in question,5.848902702331543,True,True
phi2,Phi-2,agr_0008,SP,The planner of the ministries in question,1.9688520431518557,True,True
phi2,Phi-2,agr_0008,PS,The planners of the ministry in question,5.209379196166992,True,True
phi2,Phi-2,agr_0008,PP,The planners of the ministries in question,6.848979949951172,True,True
phi2,Phi-2,agr_0009,SS,The representative of the club in question,6.4847259521484375,True,True
