aux_pair,condition,prompt,subject,distractor,subject_num,group_id,anchor_template
be_present,SS,The representative of the institution in question,representative,institution,sg,agr_0182,of_in_question
be_present,SS,The director of the station in question,director,station,sg,agr_0100,of_in_question
be_present,PS,The supervisors of the bureau in question,supervisors,bureau,pl,agr_0170,of_in_question
be_present,PS,The students of the institution in question,students,institution,pl,agr_0030,of_in_question
be_present,PP,The lecturers of the universities in question,lecturers,universities,pl,agr_0004,of_in_question
be_present,SS,The planner of the unit in question,planner,unit,sg,agr_0286,of_in_question
be_present,PP,The painters of the programs in question,painters,programs,pl,agr_0128,of_in_question
be_present,SP,The programmer of the enterprises in question,programmer,enterprises,sg,agr_0108,of_in_question
be_present,PS,The engineers of the committee in question,engineers,committee,pl,agr_0151,of_in_question
be_present,SS,The candidate of the network in question,candidate,network,sg,agr_0173,of_in_question
be_present,SP,The developer of the units in question,developer,units,sg,agr_0289,of_in_question
be_present,PS,The teachers of the sector in question,teachers,sector,pl,agr_0180,of_in_question
be_present,PP,The lecturers of the districts in question,lecturers,districts,pl,agr_0295,of_in_question
be_present,SS,The reporter of the network in question,reporter,network,sg,agr_0050,of_in_question
be_present,PP,The professors of the programs in question,professors,programs,pl,agr_0267,of_in_question
be_present,PP,The reporters of the hospitals in question,reporters,hospitals,pl,agr_0332,of_in_question
be_present,PS,The candidates of the system in question,candidates,system,pl,agr_0396,of_in_question
be_present,SS,The teacher of the district in question,teacher,district,sg,agr_0306,of_in_question
be_present,SS,The director of the committee in question,director,committee,sg,agr_0229,of_in_question
be_present,PP,The painters of the branches in question,painters,branches,pl,agr_0184,of_in_question
be_present,PS,The trainers of the foundation in question,trainers,foundation,pl,agr_0287,of_in_question
be_present,SP,The teacher of the boards in question,teacher,boards,sg,agr_0297,of_in_question
be_present,SS,The developer of the program in question,developer,program,sg,agr_0238,of_in_question
be_present,PP,The editors of the stations in question,editors,stations,pl,agr_0080,of_in_question
be_present,PS,The managers of the company in question,managers,company,pl,agr_0121,of_in_question
be_present,PS,The programmers of the system in question,programmers,system,pl,agr_0157,of_in_question
be_present,SP,The doctor of the boards in question,doctor,boards,sg,agr_0044,of_in_question
be_present,PP,The journalists of the teams in question,journalists,teams,pl,agr_0156,of_in_question
be_present,PP,The auditors of the ministries in question,auditors,ministries,pl,agr_0154,of_in_question
be_present,PS,The administrators of the panel in question,administrators,panel,pl,agr_0333,of_in_question
be_present,PP,The journalists of the companies in question,journalists,companies,pl,agr_0291,of_in_question
be_present,SS,The reporter of the club in question,reporter,club,sg,agr_0135,of_in_question
be_present,SS,The doctor of the coalition in question,doctor,coalition,sg,agr_0031,of_in_question
be_present,SP,The member of the bureaus in question,member,bureaus,sg,agr_0012,of_in_question
be_present,PS,The architects of the program in question,architects,program,pl,agr_0325,of_in_question
be_present,PS,The reporters of the club in question,reporters,club,pl,agr_0135,of_in_question
be_present,PP,The technicians of the colleges in question,technicians,colleges,pl,agr_0061,of_in_question
be_present,PP,The advisors of the services in question,advisors,services,pl,agr_0015,of_in_question
be_present,PS,The lawyers of the office in question,lawyers,office,pl,agr_0183,of_in_question
be_present,SS,The painter of the program in question,painter,program,sg,agr_0128,of_in_question
be_present,SP,The trainer of the districts in question,trainer,districts,sg,agr_0153,of_in_question
be_present,PP,The engineers of the institutes in question,engineers,institutes,pl,agr_0037,of_in_question
be_present,SS,The executive of the service in question,executive,service,sg,agr_0142,of_in_question
be_present,PS,The architects of the organization in question,architects,organization,pl,agr_0072,of_in_question
be_present,SP,The representative of the projects in question,representative,projects,sg,agr_0011,of_in_question
be_present,PS,The lecturers of the alliance in question,lecturers,alliance,pl,agr_0046,of_in_question
be_present,PS,The assistants of the platform in question,assistants,platform,pl,agr_0360,of_in_question
be_present,PP,The inspectors of the projects in question,inspectors,projects,pl,agr_0028,of_in_question
be_present,PP,The workers of the ministries in question,workers,ministries,pl,agr_0249,of_in_question
be_present,PS,The lawyers of the panel in question,lawyers,panel,pl,agr_0321,of_in_question
be_present,SP,The programmer of the projects in question,programmer,projects,sg,agr_0264,of_in_question
be_present,SP,The painter of the programs in question,painter,programs,sg,agr_0128,of_in_question
be_present,PP,The scientists of the sectors in question,scientists,sectors,pl,agr_0056,of_in_question
be_present,PP,The assistants of the laboratories in question,assistants,laboratories,pl,agr_0261,of_in_question
be_present,SS,The accountant of the department in question,accountant,department,sg,agr_0316,of_in_question
be_present,PP,The leaders of the universities in question,leaders,universities,pl,agr_0387,of_in_question
be_present,SP,The examiner of the laboratories in question,examiner,laboratories,sg,agr_0191,of_in_question
be_present,SP,The director of the stations in question,director,stations,sg,agr_0100,of_in_question
be_present,SP,The inspector of the centres in question,inspector,centres,sg,agr_0075,of_in_question
be_present,PP,The teachers of the districts in question,teachers,districts,pl,agr_0306,of_in_question
be_present,PP,The researchers of the groups in question,researchers,groups,pl,agr_0048,of_in_question
be_present,PS,The researchers of the partnership in question,researchers,partnership,pl,agr_0023,of_in_question
be_present,PP,The candidates of the hospitals in question,candidates,hospitals,pl,agr_0089,of_in_question
be_present,PS,The journalists of the program in question,journalists,program,pl,agr_0017,of_in_question
be_present,PP,The consultants of the authorities in question,consultants,authorities,pl,agr_0047,of_in_question
be_present,SS,The owner of the agency in question,owner,agency,sg,agr_0063,of_in_question
be_present,PP,The commissioners of the regions in question,commissioners,regions,pl,agr_0327,of_in_question
be_present,PS,The painters of the alliance in question,painters,alliance,pl,agr_0021,of_in_question
be_present,PP,The directors of the committees in question,directors,committees,pl,agr_0229,of_in_question
be_present,PS,The engineers of the club in question,engineers,club,pl,agr_0209,of_in_question
be_present,PS,The administrators of the foundation in question,administrators,foundation,pl,agr_0276,of_in_question
be_present,PP,The representatives of the universities in question,representatives,universities,pl,agr_0118,of_in_question
be_present,SP,The director of the institutions in question,director,institutions,sg,agr_0237,of_in_question
be_present,PS,The evaluators of the authority in question,evaluators,authority,pl,agr_0092,of_in_question
be_present,PS,The accountants of the network in question,accountants,network,pl,agr_0097,of_in_question
be_present,PS,The evaluators of the division in question,evaluators,division,pl,agr_0176,of_in_question
be_present,PS,The drivers of the forum in question,drivers,forum,pl,agr_0026,of_in_question
be_present,PP,The directors of the institutions in question,directors,institutions,pl,agr_0237,of_in_question
be_present,SS,The inspector of the facility in question,inspector,facility,sg,agr_0221,of_in_question
be_present,SP,The professor of the programs in question,professor,programs,sg,agr_0267,of_in_question
be_present,SP,The advisor of the alliances in question,advisor,alliances,sg,agr_0133,of_in_question
be_present,PP,The operators of the federations in question,operators,federations,pl,agr_0338,of_in_question
be_present,SP,The consultant of the sectors in question,consultant,sectors,sg,agr_0122,of_in_question
be_present,PP,The inspectors of the facilities in question,inspectors,facilities,pl,agr_0221,of_in_question
be_present,PP,The engineers of the platforms in question,engineers,platforms,pl,agr_0025,of_in_question
be_present,SP,The doctor of the clubs in question,doctor,clubs,sg,agr_0232,of_in_question
be_present,SP,The evaluator of the alliances in question,evaluator,alliances,sg,agr_0389,of_in_question
be_present,PP,The planners of the units in question,planners,units,pl,agr_0286,of_in_question
be_present,SP,The officer of the coalitions in question,officer,coalitions,sg,agr_0311,of_in_question
